"pop2022","pop2021","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","rank","density"
161571,157170,152769,108755,"0.02800","TN",4751560,2404342,"Murfreesboro","2",0,159826000,353385,61.709,0.136,35.8539,-86.4212,"murfreesboro-tn",34980,170,2618
161242,163305,165368,185996,"-0.01263","PR",7206593,2415307,"Bayamon","6",0,69872000,327596,26.978,0.126,18.3801,-66.1633,"bayamon-pr",,171,5977
158949,157377,155805,140081,"0.00999","CA",677000,2412009,"Sunnyvale","2",0,57057400,1817650,22.03,0.702,37.3858,-122.026,"sunnyvale-ca",41940,172,7215
158771,157689,156607,145786,"0.00686","KS",2036000,485601,"Kansas City","2",0,323269000,9237730,124.815,3.567,39.1225,-94.7418,"kansas-city-ks",28140,173,1272
158584,157284,155984,142980,"0.00827","CO",843000,2411614,"Lakewood","2",0,111490000,3039240,43.047,1.173,39.6989,-105.118,"lakewood-co",19740,174,3684
158129,155612,153095,127921,"0.01617","TX",4839148,2411542,"Killeen","2",0,141270000,1690050,54.545,0.653,31.0753,-97.7316,"killeen-tx",28660,175,2899
158088,157612,157136,152374,"0.00302","CA",616350,2410232,"Corona","2",0,103563000,55171,39.986,0.021,33.862,-117.565,"corona-ca",,176,3954
157752,154803,151854,122363,"0.01905","WA",5305210,2409821,"Bellevue","2",0,86663800,10472200,33.461,4.043,47.5978,-122.156,"bellevue-wa",42660,177,4715
156503,156216,155929,153060,"0.00184","MA",2567000,619388,"Springfield","2",0,82540200,3137280,31.869,1.211,42.1155,-72.54,"springfield-ma",44140,178,4911
156255,153241,150227,120083,"0.01967","SC",4513330,2404030,"Charleston","2",0,286335000,52332200,110.554,20.206,32.8179,-79.959,"charleston-sc",16700,179,1413
156180,156762,157346,155810,"-0.00371","GA",1349008,2761437,"Macon","0",0,645939000,14264300,249.398,5.507,32.8088,-83.6942,"macon-ga",31420,180,626
155527,154297,153067,140768,"0.00797","FL",1232000,2404719,"Hollywood","2",0,70626800,9130070,27.269,3.525,26.031,-80.1646,"hollywood-fl",,181,5703
153569,150671,147773,118788,"0.01923","CA",662938,2411000,"Roseville","2",0,114163000,0,44.079,0,38.7703,-121.32,"roseville-ca",40900,182,3484
152532,152241,151950,149043,"0.00191","TX",4856000,2411380,"Pasadena","2",0,112887000,3550740,43.586,1.371,29.659,-95.1504,"pasadena-tx",,183,3500
152464,151751,151038,143911,"0.00470","CA",622804,2410455,"Escondido","2",0,96643700,276445,37.314,0.107,33.1331,-117.074,"escondido-ca",,184,4086
152245,151979,151713,149058,"0.00175","CA",658072,2411454,"Pomona","2",0,59523800,26188,22.982,0.01,34.0585,-117.761,"pomona-ca",,185,6625
152164,151136,150108,139824,"0.00680","TX",4847892,2411090,"Mesquite","2",0,122382000,479993,47.252,0.185,32.7629,-96.5888,"mesquite-tx",,186,3220
151078,150309,149540,141853,"0.00512","IL",1751622,2395147,"Naperville","2",0,100520000,1507820,38.811,0.582,41.7492,-88.162,"naperville-il",16980,187,3893
150948,150655,150362,147433,"0.00194","IL",1738570,2395477,"Joliet","2",0,166153000,1758010,64.152,0.679,41.5177,-88.1488,"joliet-il",,188,2353
150078,148929,147780,136286,"0.00772","GA",1369000,2405429,"Savannah","2",0,269126000,12531200,103.91,4.838,32.0419,-81.0513,"savannah-ga",42340,189,1444
149739,151720,153701,173514,"-0.01306","MS",2836000,2404779,"Jackson","2",0,287712000,5558330,111.086,2.146,32.3158,-90.2128,"jackson-ms",27140,190,1348
149538,149096,148654,144229,"0.00296","CT",908000,2378269,"Bridgeport","2",0,41606700,8705770,16.064,3.361,41.1874,-73.1958,"bridgeport-ct",14860,191,9309
149310,148965,148620,145170,"0.00232","NY",3673000,979539,"Syracuse","2",0,64826300,1504330,25.03,0.581,43.041,-76.1436,"syracuse-ny",45060,192,5965
148274,145711,143148,117517,"0.01759","AZ",471510,2412016,"Surprise","2",0,279883000,553175,108.063,0.214,33.6706,-112.453,"surprise-az",,193,1372
147811,148233,148655,152871,"-0.00285","IL",1765000,2396405,"Rockford","2",0,166740000,2628720,64.379,1.015,42.2593,-89.0635,"rockford-il",40420,194,2296
147393,147230,147067,145438,"0.00111","CA",680000,2412087,"Torrance","2",0,53150300,80323,20.521,0.031,33.835,-118.341,"torrance-ca",,195,7183
146487,144177,141867,118772,"0.01602","CO",877290,2412064,"Thornton","2",0,92957800,5328030,35.891,2.057,39.9194,-104.943,"thornton-co",,196,4081
145424,141006,136588,92411,"0.03133","WA",5335415,2410185,"Kent","2",0,87411000,1726260,33.75,0.667,47.388,-122.213,"kent-wa",,197,4309
145309,144463,143617,135161,"0.00586","CA",628000,2410556,"Fullerton","2",0,58095900,32825,22.431,0.013,33.8857,-117.928,"fullerton-ca",,198,6478
145167,142518,139869,113383,"0.01859","TX",4819972,2410323,"Denton","2",0,249250000,4145650,96.236,1.601,33.2174,-97.1413,"denton-tx",,199,1508
144772,143078,141384,124442,"0.01184","CA",682954,2412160,"Visalia","2",0,98224000,51434,37.924,0.02,36.328,-119.329,"visalia-ca",47300,200,3817
